trackId,length,width,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1352,4.04,1.85,8290,8472,183,car,2,37.2,5.12,7.57,6.22,-1.0,-1.0,-1.0,1
1353,4.39,1.5,8290,9366,1077,car,2,136.5,2.3,4.76,3.76,4.24,1.37,8.53,0
1354,3.86,1.54,8293,8600,308,car,1,134.31,12.17,15.32,13.17,3.0,0.24,-1.0,2
1355,3.86,1.5,8297,8878,582,car,2,136.42,2.92,8.53,7.01,6.11,1.42,4.35,1
1356,3.64,1.52,8306,8601,296,car,1,133.99,11.13,15.85,13.68,19.16,1.5,11.87,0
1357,3.9,1.5,8307,9818,1512,car,2,125.59,0.07,4.7,2.49,1.16,1.55,2.08,0
1358,3.67,1.54,8320,8670,351,car,1,134.85,11.08,12.32,11.61,18.04,1.56,-1.0,1
1359,3.87,1.76,8320,8334,15,car,1,1.49,4.02,4.07,4.03,-1.0,-1.0,-1.0,0
1360,4.09,1.61,8333,8569,237,car,1,134.57,16.9,17.31,17.14,47.51,2.75,7.15,0
1361,3.86,1.5,8344,9792,1449,car,2,136.5,1.43,3.87,2.81,4.09,1.37,3.08,0
1362,3.84,1.57,8346,8721,376,car,2,135.75,9.64,11.67,10.86,-1.0,-1.0,-1.0,0
1363,3.63,1.44,8355,9478,1124,car,2,136.54,1.93,5.07,3.6,1.72,0.73,8.21,1
1364,3.64,1.46,8362,9336,975,car,2,135.82,1.42,6.33,4.16,3.79,1.87,3.39,0
1365,3.9,1.46,8373,8960,588,car,2,136.56,3.86,8.54,6.97,8.03,1.79,5.16,1
1366,3.83,1.52,8391,9034,644,car,2,136.32,3.52,8.26,6.33,2.92,0.44,8.78,1
1367,3.86,1.46,8393,8642,250,car,1,133.88,15.64,16.64,16.13,17.55,1.11,3.73,1
1368,3.83,1.55,8397,8787,391,car,2,136.19,9.29,11.82,10.48,-1.0,-1.0,-1.0,0
1369,3.6,1.46,8400,8702,303,car,1,134.49,12.67,13.44,13.29,46.5,3.54,72.81,0
1371,3.83,1.54,8408,9629,1222,car,2,136.72,2.67,4.65,3.35,2.25,0.83,8.59,1
1370,3.86,1.57,8409,9498,1090,car,2,136.26,2.35,5.61,3.77,0.41,0.14,4.81,0
1372,3.75,1.5,8430,9429,1000,car,2,135.9,1.84,6.19,4.05,3.34,1.46,4.33,0
1373,3.85,1.66,8436,8833,398,car,2,137.05,8.52,12.21,10.34,-1.0,-1.0,-1.0,0
1374,3.56,1.43,8438,8689,252,car,1,134.34,15.98,16.21,16.08,55.76,3.48,-1.0,0
1375,3.68,1.46,8447,8754,308,car,1,134.81,12.95,13.38,13.17,17.44,1.34,337.33,0
1376,3.77,1.86,8460,8481,22,car,1,2.32,2.16,2.4,2.32,-1.0,-1.0,-1.0,0
1377,3.83,1.48,8461,9563,1103,car,2,136.29,2.03,4.83,3.69,1.91,0.64,2.42,0
1378,3.75,1.44,8472,9580,1109,car,2,136.87,1.73,4.76,3.69,1.57,0.54,3.83,4
1379,3.0,1.39,8474,8714,241,car,1,132.49,16.25,16.78,16.56,36.6,2.21,39.83,0
1380,3.9,1.54,8476,8731,256,car,1,134.38,15.08,15.91,15.74,16.39,1.07,-1.0,0
1381,3.75,1.54,8479,9818,1340,car,2,132.75,1.91,3.99,2.94,0.04,0.01,4.2,0
1382,4.95,2.29,8490,8490,1,truck,2,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
1384,3.79,1.5,8496,9132,637,car,2,136.92,2.82,8.61,6.38,5.85,1.4,6.99,1
1383,8.45,2.98,8497,8830,334,bus,1,106.75,4.64,9.68,9.19,-1.0,-1.0,-1.0,2
1385,4.16,1.5,8498,9818,1321,car,2,115.74,0.1,5.19,2.62,1.61,1.44,3.0,0
1386,4.17,1.67,8500,8916,417,car,2,136.14,7.32,10.65,9.73,-1.0,-1.0,-1.0,0
1387,3.94,1.54,8502,8800,299,car,1,135.15,13.4,14.06,13.65,9.94,0.71,-1.0,0
1388,3.71,1.52,8517,8745,229,car,1,132.49,17.09,17.82,17.46,15.67,0.88,10.01,0
1389,3.98,1.5,8520,9679,1160,car,2,136.31,1.63,5.77,3.52,0.86,0.26,3.09,0
1390,3.53,1.76,8529,8556,28,car,1,3.63,3.6,3.74,3.69,-1.0,-1.0,-1.0,0
1391,4.35,1.5,8544,9718,1175,car,2,136.63,2.43,4.46,3.46,2.17,0.88,3.59,0
1392,3.79,1.48,8550,8858,309,car,1,134.98,11.83,13.82,13.14,119.1,9.97,-1.0,0
1393,3.38,1.37,8558,8830,273,car,1,134.08,14.37,14.98,14.77,20.06,1.4,-1.0,0
1394,4.14,1.62,8560,8974,415,car,2,136.28,8.51,10.7,9.88,-1.0,-1.0,-1.0,0
1395,4.09,1.46,8567,8867,301,car,1,135.04,12.11,13.95,13.44,48.0,3.5,79.59,0
1396,16.88,2.48,8571,9818,1248,car,2,117.06,2.05,4.14,2.86,2.81,1.27,8.55,0
1397,3.83,1.44,8574,9762,1189,car,2,136.11,1.34,5.6,3.37,2.06,1.04,4.48,0
1398,4.05,1.46,8576,9205,630,car,2,136.02,2.95,8.39,6.47,4.61,1.27,5.66,1
1399,4.31,2.16,8580,8606,27,car,1,2.95,2.84,3.02,2.95,-1.0,-1.0,-1.0,0
1400,3.84,1.7,8589,8899,311,car,1,110.51,9.43,12.22,10.7,-1.0,-1.0,-1.0,3
1401,3.68,1.57,8593,8912,320,car,1,135.39,11.27,13.43,12.69,13.42,1.17,-1.0,1
1402,4.05,1.56,8599,9004,406,car,2,135.8,7.67,11.4,9.97,-1.0,-1.0,-1.0,0
1403,13.66,2.36,8608,8940,333,truck,1,134.49,7.0,13.26,11.93,12.97,1.19,-1.0,0
1404,3.75,1.5,8610,9786,1177,car,2,136.67,2.43,4.57,3.48,2.1,0.8,6.52,0
1405,3.79,1.39,8623,9298,676,car,2,136.17,2.75,8.34,6.07,5.55,1.26,5.75,1
