ts,track_id,line_role,line_role_str,c0,c1,c2,c3,ego_x,ego_y,ego_yaw,LD_Track_Age,LD_Quality,LD_Confidence,LD_Crossing,LD_Crossing_ID,LD_Filter,LD_Dash_Average_Gap,LD_Dash_Average_Length,LD_Type,LD_Color,LD_Start,LD_End,LD_End_Reason,Line_Is_Virtual
1695432401621937000,61,2,Host_Right,-1.2376079559326172,0.0066338060423731,5.0816026487154886e-05,-3.903108165559388e-07,0.7615708578196063,1.631062383960284,1.1386122543973394,1316.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.111366271972656,14.48623275756836,0.0,False
1695432401621937000,31,6,Adjacent_Right_Right,-4.187413692474365,0.0034034894779324,-0.0002051398187177,-5.756708105764119e-06,0.7615708578196063,1.631062383960284,1.1386122543973394,1751.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.0899658203125,13.47054672241211,0.0,False
1695432401621937000,44,10,RightRight_Right,-7.133195400238037,-0.0195160079747438,-0.0010568868601694,-1.7938384189619683e-05,0.7615708578196063,1.631062383960284,1.1386122543973394,288.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-29.114431381225586,12.324237823486328,0.0,False
1695432401655293000,60,1,Host_Left,1.7407056093215942,0.0091189555823802,0.0006115458672866,9.66252355283359e-06,0.8573409038330624,1.8378102831100023,1.1384454637633004,1484.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.13844680786133,15.125528335571289,0.0,False
1695432401655293000,61,2,Host_Right,-1.236178278923035,0.0067036291584372,4.1661845898488536e-05,-5.407170533544559e-07,0.8573409038330624,1.8378102831100023,1.1384454637633004,1317.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.28118133544922,14.195995330810547,0.0,False
1695432401655293000,31,6,Adjacent_Right_Right,-4.187512874603272,0.003238106612116,-0.0002150179061572,-5.81561516810325e-06,0.8573409038330624,1.8378102831100023,1.1384454637633004,1752.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.25947570800781,13.290182113647461,0.0,False
1695432401655293000,44,10,RightRight_Right,-7.136889934539795,-0.0193142760545015,-0.0009707001154311,-1.4147251022222918e-05,0.8573409038330624,1.8378102831100023,1.1384454637633004,289.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-29.283573150634766,12.279955863952637,0.0,False
1695432401688651000,60,1,Host_Left,1.7427301406860352,0.0093554062768816,0.000603433640208,9.4492779680877e-06,0.905061200197224,1.9410988798252902,1.1383705387032024,1485.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.31547546386719,14.724044799804688,0.0,False
1695432401688651000,61,2,Host_Right,-1.235242486000061,0.0068914960138499,4.73131804028526e-05,-4.296574047657488e-07,0.905061200197224,1.9410988798252902,1.1383705387032024,1318.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.457889556884766,13.918647766113281,0.0,False
1695432401688651000,31,6,Adjacent_Right_Right,-4.187378406524658,0.0030793400947004,-0.0002265621587866,-5.90234640185372e-06,0.905061200197224,1.9410988798252902,1.1383705387032024,1753.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.43585205078125,13.130722045898438,0.0,False
